Location,Date of Listing,No. of Bedrooms,No. of Bathrooms,Area,Parking Availability,Furnishing Status,Apartment Name,Current Price
"2 Mins From Upcoming Sompura Metro Station, Sarjapur Road, Sarjapur Road, Bangalore","2.5, 3 BHK Apartments",2.5 BHK,No Bathrooms,1634 sq.ft,Children's Play Area,No Furnishing Info,Serene Heights,₹ 1.31 Cr
"Bommasandra, South Bangalore, South Bangalore, Bande Nalla Sandra","2, 3 BHK Apartments",2 BHK,No Bathrooms,1096 sq.ft,Children's Play Area,No Furnishing Info,Ma Sarada Upavan Phase II,₹ 76.71 L
"Cheemasandra, Bidarahalli Hobli, Budigere Cross, Old Madras Road, Bangalore","Studio, 1, 2, 2.5, 3 BHK Studio Apartment,Apartments",Studio,No Bathrooms,468 sq.ft,Children's Play Area,No Furnishing Info,Sattva Songbird,₹ 67.4 L
"Hegganahalli, Nagamangala, Devanahalli, North Bangalore, Manchappanahosahalli","1, 2, 2.5, 3 BHK Apartments",1 BHK,No Bathrooms,628 sq.ft,Cricket Pitch,No Furnishing Info,Embassy Verde,₹ 53.43 L
"Sarjapur Road, Carmelaram, Bangalore East , Bangalore","2, 3 BHK Apartments",2 BHK,No Bathrooms,1290 sq.ft,Children's Play Area,No Furnishing Info,Inspira Infinity,₹ 1.27 Cr
"Just 10 Minutes Drive From Electronic City, Bangalore","2, 3 BHK Apartments",2 BHK,No Bathrooms,1204 sq.ft,Children's Play Area,No Furnishing Info,Signature Heights,₹ 93.31 L
"Sy.No14,158 & 152(P) , Pattandur Agrahara Village, K.R.Puram Hobli, Bangalore East , Bangalore","3, 4 BHK Apartments",3 BHK,No Bathrooms,1635 sq.ft,Children's Play Area,No Furnishing Info,Sumadhura Capitol Residences,₹ 2.29 Cr
"Yelahanka Extension, North Bangalore, Bangalore",4 BHK Villa,4 BHK,No Bathrooms,2600 sq.ft,Waiting Lounge,No Furnishing Info,Konig North County,₹ 2.46 Cr
"Yelahanka New Town, Yelankaha Rail Wheel Factory, North Bangalore, Bangalore","2, 3, 4 BHK Apartments",2 BHK,No Bathrooms,1290 sq.ft,Children's Play Area,No Furnishing Info,Aryan 1 Celeste,₹ 1.16 Cr
"Rajanukunte, Hesaraghatta Hobli, Yelahanka, Dodaballapura, North Bangalore, Bangalore","Studio, 1, 2, 3 BHK Apartment,Studio Apartments",Studio,No Bathrooms,424 sq.ft,Cricket Pitch,No Furnishing Info,Sattva Lumina,₹ 45.16 L
"15 Min Electronic City Toll, Chandapura Marsur Main Road, South Bangalore, Bangalore","2, 3 BHK Apartments",2 BHK,No Bathrooms,1093 sq.ft,Children's Play Area,No Furnishing Info,Global Edifice Legacy,₹ 55.0 L
"Off Mysore Road, Near Rajarajeshwari Dental College, Kumbalgudu, Mysore-Bangalore Road, Bangalore","2, 3 BHK Apartments",2 BHK,No Bathrooms,980 sq.ft,Internet / Wi-Fi,No Furnishing Info,Olympia,₹ 77.14 L
